Date,Close,Close,Close,Close
10.03.2020 16:00:00,"71,33","2386,13","82,69","154,48"
11.03.2020 16:00:00,"68,86","2529,19","75,91","153,93"
12.03.2020 16:00:00,"62,06","2398,1","76,45","147,79"
13.03.2020 16:00:00,"69,49","2409,39",72,"143,28"
16.03.2020 16:00:00,"60,55","2304,92","66,04","141,64"
17.03.2020 16:00:00,"63,22","2237,4","61,59","143,56"
18.03.2020 16:00:00,"61,67","2447,33","61,67","140,7"
19.03.2020 16:00:00,"61,2","2475,56","63,95","138,04"
20.03.2020 16:00:00,"57,31","2630,07",61,"140,11"
23.03.2020 16:00:00,"56,09","2541,47","65,54","146,3"
24.03.2020 16:00:00,"61,72","2626,65","57,08","153,4"
25.03.2020 16:00:00,"61,38","2584,59","53,54","151,3"
26.03.2020 16:00:00,"64,61","2470,5","57,06","153,24"
27.03.2020 16:00:00,"61,94","2526,9","50,91","152,25"
30.03.2020 16:00:00,"63,7","2488,65","46,8","152,92"
31.03.2020 16:00:00,"63,57","2663,68","45,24","148,05"
01.04.2020 16:00:00,"60,23","2659,41","46,7","149,45"
02.04.2020 16:00:00,"61,23","2749,98","43,35","151,9"
03.04.2020 16:00:00,"60,35","2789,82","41,67","152,65"
06.04.2020 16:00:00,"65,62","2761,63","41,17","156,88"
07.04.2020 16:00:00,"64,86","2846,06","37,76","156,04"
08.04.2020 16:00:00,"66,52","2783,36","40,84","154,65"
09.04.2020 16:00:00,67,"2799,55","40,11","158,69"
13.04.2020 16:00:00,"68,31","2874,56","38,15","161,41"
14.04.2020 16:00:00,"71,76","2823,16","43,83","162,68"
15.04.2020 16:00:00,"71,11","2736,56","45,41","161,85"
16.04.2020 16:00:00,"71,67","2799,31","41,98","161,71"
17.04.2020 16:00:00,"70,7","2797,8","41,38","158,57"
20.04.2020 16:00:00,"69,23","2836,74","35,93","159,7"
21.04.2020 16:00:00,"67,09","2878,48","33,29","158,61"
22.04.2020 16:00:00,"69,03","2863,39","33,57","161,73"
23.04.2020 16:00:00,"68,76","2939,51","31,23","163,34"
24.04.2020 16:00:00,"70,74","2912,43","34,15","162,64"
27.04.2020 16:00:00,"70,79","2830,71","37,19","161,56"
28.04.2020 16:00:00,"69,65","2842,74","35,97","160,84"
29.04.2020 16:00:00,"71,93","2868,44","33,61","161,73"
30.04.2020 16:00:00,"73,45","2848,42","34,12","158,8"
01.05.2020 16:00:00,"72,27","2881,19","31,44","159,78"
04.05.2020 16:00:00,"73,29","2929,8","27,98","160,34"
05.05.2020 16:00:00,"74,39","2930,32","27,57","161,02"
06.05.2020 16:00:00,"75,16","2870,12","33,04","158,95"
07.05.2020 16:00:00,"75,94",2820,"35,28","161,39"
08.05.2020 16:00:00,"77,53","2852,5","32,61","160,42"
11.05.2020 16:00:00,"78,75","2863,7","31,89","159,42"
12.05.2020 16:00:00,"77,85","2953,91","29,3","160,04"
13.05.2020 16:00:00,"76,91","2922,94","30,53","161,58"
14.05.2020 16:00:00,"77,39","2971,61","27,99","163,01"
15.05.2020 16:00:00,"76,93","2948,51","29,53","163,93"
18.05.2020 16:00:00,"78,74","2955,45","28,16","162,69"
19.05.2020 16:00:00,"78,29","2991,77","28,01","164,26"
20.05.2020 16:00:00,"79,81","3036,13","27,62","164,65"
21.05.2020 16:00:00,"79,21","3029,73","28,59","162,25"
22.05.2020 16:00:00,"79,72","3044,31","27,51","163,21"
26.05.2020 16:00:00,"79,18","3055,73","28,23","160,89"
27.05.2020 16:00:00,"79,53","3080,82","26,84","161,18"
28.05.2020 16:00:00,"79,56","3122,87","25,66","161,72"
29.05.2020 16:00:00,"79,49","3112,35","25,81","162,91"
